CN101010100	北京
CN101050403	佳木斯
CN101050404	佳木斯
CN101050405	佳木斯
CN101050406	佳木斯
CN101050407	佳木斯
CN101050408	佳木斯
CN101050409	佳木斯
CN101050410	佳木斯
CN101050411	佳木斯
CN101050501	绥化
CN101050502	绥化
CN101050503	绥化
CN101050504	绥化
CN101050505	绥化
CN101050506	绥化
CN101050507	绥化
CN101050508	绥化
CN101050509	绥化
CN101050510	绥化
CN101050511	绥化
CN101050601	黑河
CN101050602	黑河
CN101050603	黑河
CN101050604	黑河
CN101050605	黑河
CN101050606	黑河
CN101050607	黑河
CN101050701	大兴安岭
CN101050702	大兴安岭
CN101050703	大兴安岭
CN101050704	大兴安岭
CN101050801	伊春
CN101050802	伊春
CN101050803	伊春
CN101050804	伊春
CN101050805	伊春
CN101050806	伊春
CN101050807	伊春
CN101050808	伊春
CN101050809	伊春
CN101050810	伊春
CN101050811	伊春
CN101050812	伊春
CN101050813	伊春
CN101050814	伊春
CN101050815	伊春
CN101050816	伊春
CN101050817	伊春
CN101050901	大庆
CN101050902	大庆
CN101050903	大庆
CN101050904	大庆
CN101050905	大庆
CN101050906	大庆
CN101050907	大庆
CN101050908	大庆
CN101050909	大庆
CN101050910	大庆
CN101051001	七台河
CN101051002	七台河
CN101051003	七台河
CN101051004	七台河
CN101051005	七台河
CN101051101	鸡西
CN101051102	鸡西
CN101051103	鸡西
CN101051104	鸡西
CN101051105	鸡西
CN101051106	鸡西
CN101051107	鸡西
CN101051108	鸡西
CN101051109	鸡西
CN101051110	鸡西
CN101051201	鹤岗
CN101051202	鹤岗
CN101051203	鹤岗
CN101051204	鹤岗
CN101051205	鹤岗
CN101051206	鹤岗
CN101051207	鹤岗
CN101051208	鹤岗
CN101051209	鹤岗
CN101051301	双鸭山
CN101051302	双鸭山
CN101051303	双鸭山
CN101051304	双鸭山
CN101051305	双鸭山
CN101051306	双鸭山
CN101051307	双鸭山
CN101051308	双鸭山
CN101051309	双鸭山
CN101060101	长春
CN101060102	长春
CN101060103	长春
CN101060104	长春
CN101060105	长春
CN101060106	长春
CN101060107	长春
CN101060108	长春
CN101060109	长春
CN101060110	长春
CN101060111	长春
CN101060201	吉林
CN101060202	吉林
CN101060203	吉林
CN101060204	吉林
CN101060205	吉林
CN101060206	吉林
CN101060207	吉林
CN101060208	吉林
CN101060209	吉林
CN101060210	吉林
CN101060301	延边
CN101060302	延边
CN101060303	延边
CN101060304	延边
CN101060305	延边
CN101060306	延边
CN101060307	延边
CN101060308	延边
CN101060309	延边
CN101060401	四平
CN101060402	四平
CN101060403	四平
CN101060404	四平
CN101060405	四平
CN101060406	四平
CN101060407	四平
CN101060501	通化
CN101060502	通化
CN101060503	通化
CN101060504	通化
CN101060505	通化
CN101060506	通化
CN101060507	通化
CN101060508	通化
CN101060601	白城
CN101060602	白城
CN101060603	白城
CN101060604	白城
CN101060605	白城
CN101060606	白城
CN101060701	辽源
CN101060702	辽源
CN101060703	辽源
CN101060704	辽源
CN101060705	辽源
CN101060801	松原
CN101060802	松原
CN101060803	松原
CN101060804	松原
CN101060805	松原
CN101060806	松原
CN101060901	白山
CN101060902	白山
CN101060903	白山
CN101060905	白山
CN101060906	白山
CN101060907	白山
CN101060908	白山
CN101070101	沈阳
CN101070102	沈阳
CN101070103	沈阳
CN101070104	沈阳
CN101070105	沈阳
CN101070106	沈阳
CN101070107	沈阳
CN101070108	沈阳
CN101070109	沈阳
CN101070110	沈阳
CN101070111	沈阳
CN101070112	沈阳
CN101070113	沈阳
CN101070114	沈阳
CN101070115	沈阳
CN101070201	大连
CN101070202	大连
CN101070203	大连
CN101070204	大连
CN101070205	大连
CN101070206	大连
CN101070207	大连
CN101070208	大连
CN101070209	大连
CN101070210	大连
CN101070211	大连
CN101070301	鞍山
CN101070302	鞍山
CN101070303	鞍山
CN101070304	鞍山
CN101070305	鞍山
CN101070306	鞍山
CN101070307	鞍山
CN101070308	鞍山
CN101070401	抚顺
CN101070402	抚顺
CN101070403	抚顺
CN101070405	抚顺
CN101070406	抚顺
CN101070407	抚顺
CN101070408	抚顺
CN101070501	本溪
CN101070502	本溪
CN101070503	本溪
CN101070504	本溪
CN101070505	本溪
CN101070506	本溪
CN101070507	本溪
CN101070601	丹东
CN101070602	丹东
CN101070603	丹东
CN101070604	丹东
CN101070605	丹东
CN101070606	丹东
CN101070607	丹东
CN101070701	锦州
CN101070702	锦州
CN101070703	锦州
CN101070704	锦州
CN101070705	锦州
CN101070706	锦州
CN101070707	锦州
CN101070708	锦州
CN101070801	营口
CN101070802	营口
CN101070803	营口
CN101070804	营口
CN101070805	营口
CN101070806	营口
CN101070807	营口
CN101070901	阜新
CN101070902	阜新
CN101070903	阜新
CN101070904	阜新
CN101070905	阜新
CN101070906	阜新
CN101070907	阜新
CN101071001	辽阳
CN101071002	辽阳
CN101071003	辽阳
CN101071004	辽阳
CN101071005	辽阳
CN101071006	辽阳
CN101071007	辽阳
CN101071008	辽阳
CN101071101	铁岭
CN101071102	铁岭
CN101071103	铁岭
CN101071104	铁岭
CN101071105	铁岭
CN101071106	铁岭
CN101071107	铁岭
CN101071201	朝阳
CN101071202	朝阳
CN101071203	朝阳
CN101071204	朝阳
CN101071205	朝阳
CN101071206	朝阳
CN101071207	朝阳
CN101071301	盘锦
CN101071302	盘锦
CN101071303	盘锦
CN101071304	盘锦
CN101071305	盘锦
CN101071401	葫芦岛
CN101071402	葫芦岛
CN101071403	葫芦岛
CN101071404	葫芦岛
CN101071405	葫芦岛
CN101071406	葫芦岛
CN101071407	葫芦岛
CN101080101	呼和浩特
CN101080102	呼和浩特
CN101080103	呼和浩特
CN101080104	呼和浩特
CN101080105	呼和浩特
CN101080106	呼和浩特
CN101080107	呼和浩特
CN101080108	呼和浩特
CN101080109	呼和浩特
CN101080110	呼和浩特
CN101080201	包头
CN101080202	包头
CN101080204	包头
CN101080205	包头
CN101080206	包头
CN101080208	包头
CN101080209	包头
CN101080210	包头
CN101080211	包头
CN101080212	包头
CN101080301	乌海
CN101080302	乌海
CN101080303	乌海
CN101080304	乌海
CN101080401	乌兰察布
CN101080402	乌兰察布
CN101080403	乌兰察布
CN101080404	乌兰察布
CN101080405	乌兰察布
CN101080406	乌兰察布
CN101080407	乌兰察布
CN101080408	乌兰察布
CN101080409	乌兰察布
CN101080410	乌兰察布
CN101080411	乌兰察布
CN101080412	乌兰察布
CN101080501	通辽
CN101080503	通辽
CN101080504	通辽
CN101080506	通辽
CN101080507	通辽
CN101080508	通辽
CN101080509	通辽
CN101080510	通辽
CN101080512	通辽
CN101080601	赤峰
CN101080602	赤峰
CN101080603	赤峰
CN101080605	赤峰
CN101080606	赤峰
CN101080607	赤峰
CN101080608	赤峰
CN101080609	赤峰
CN101080611	赤峰
CN101080613	赤峰
CN101080614	赤峰
CN101080616	赤峰
CN101080617	赤峰
CN101080701	鄂尔多斯
CN101080703	鄂尔多斯
CN101080704	鄂尔多斯
CN101080705	鄂尔多斯
CN101080708	鄂尔多斯
CN101080709	鄂尔多斯
CN101080710	鄂尔多斯
CN101080711	鄂尔多斯
CN101080713	鄂尔多斯
CN101080801	巴彦淖尔
CN101080802	巴彦淖尔
CN101080803	巴彦淖尔
CN101080804	巴彦淖尔
CN101080806	巴彦淖尔
CN101080807	巴彦淖尔
CN101080810	巴彦淖尔
CN101080811	巴彦淖尔
CN101080901	锡林郭勒
CN101080902	锡林郭勒
CN101080903	锡林郭勒
CN101080904	锡林郭勒
CN101080906	锡林郭勒
CN101080907	锡林郭勒
CN101080909	锡林郭勒
CN101080910	锡林郭勒
CN101080911	锡林郭勒
CN101080912	锡林郭勒
CN101080913	锡林郭勒
CN101080914	锡林郭勒
CN101080915	锡林郭勒
CN101081001	呼伦贝尔
CN101081003	呼伦贝尔
CN101081004	呼伦贝尔
CN101081005	呼伦贝尔
CN101081006	呼伦贝尔
CN101081007	呼伦贝尔
CN101081008	呼伦贝尔
CN101081009	呼伦贝尔
CN101081010	呼伦贝尔
CN101081011	呼伦贝尔
CN101081012	呼伦贝尔
CN101081013	呼伦贝尔
CN101081014	呼伦贝尔
CN101081015	呼伦贝尔
CN101081017	呼伦贝尔
CN101081101	兴安盟
CN101081102	兴安盟
CN101081103	兴安盟
CN101081105	兴安盟
CN101081107	兴安盟
CN101081108	兴安盟
CN101081109	兴安盟
CN101081201	阿拉善盟
CN101081202	阿拉善盟
CN101081203	阿拉善盟
CN101081213	阿拉善盟
CN101090101	石家庄
CN101090102	石家庄
CN101090103	石家庄
CN101090104	石家庄
CN101090105	石家庄
CN101090106	石家庄
CN101090107	石家庄
CN101090108	石家庄
CN101090109	石家庄
CN101090110	石家庄
CN101090111	石家庄
CN101090112	石家庄
CN101090113	石家庄
CN101090114	石家庄
CN101090115	石家庄
CN101090116	石家庄
CN101090117	石家庄
CN101090118	石家庄
CN101090119	石家庄
CN101090120	石家庄
CN101090121	石家庄
CN101090122	石家庄
CN101090123	石家庄
CN101090201	保定
CN101090202	保定
CN101090203	保定
CN101090204	保定
CN101090205	保定
CN101090206	保定
CN101090207	保定
CN101090208	保定
CN101090209	保定
CN101090210	保定
CN101090211	保定
CN101090212	保定
CN101090213	保定
CN101090214	保定
CN101090215	保定
CN101090216	保定
CN101090217	保定
CN101090218	保定
CN101090219	保定
CN101090220	保定
CN101090221	保定
CN101090222	保定
CN101090223	保定
CN101090224	保定
CN101090225	保定
CN101090226	保定
CN101090301	张家口
CN101090302	张家口
CN101090303	张家口
CN101090304	张家口
CN101090305	张家口
CN101090306	张家口
CN101090307	张家口
CN101090308	张家口
CN101090309	张家口
CN101090310	张家口
CN101090311	张家口
CN101090312	张家口
CN101090313	张家口
CN101090314	张家口
CN101090315	张家口
CN101090316	张家口
CN101090317	张家口
CN101090401	承德
CN101090402	承德
CN101090403	承德
CN101090404	承德
CN101090405	承德
CN101090406	承德
CN101090407	承德
CN101090408	承德
CN101090409	承德
CN101090410	承德
CN101090411	承德
CN101090412	承德
CN101090501	唐山
CN101090502	唐山
CN101090503	唐山
CN101090504	唐山
CN101090505	唐山
CN101090506	唐山
CN101090507	唐山
CN101090508	唐山
CN101090509	唐山
CN101090510	唐山
CN101090511	唐山
CN101090513	唐山
CN101090514	唐山
CN101090515	唐山
CN101090516	唐山
CN101090601	廊坊
CN101090602	廊坊
CN101090603	廊坊
CN101090604	廊坊
CN101090605	廊坊
CN101090606	廊坊
CN101090607	廊坊
CN101090608	廊坊
CN101090609	廊坊
CN101090610	廊坊
CN101090611	廊坊
CN101090701	沧州
CN101090702	沧州
CN101090703	沧州
CN101090704	沧州
CN101090705	沧州
CN101090706	沧州
CN101090707	沧州
CN101090708	沧州
CN101090709	沧州
CN101090710	沧州
CN101090711	沧州
CN101090712	沧州
CN101090713	沧州
CN101090714	沧州
CN101090715	沧州
CN101090716	沧州
CN101090717	沧州
CN101090801	衡水
CN101090802	衡水
CN101090803	衡水
CN101090804	衡水
CN101090805	衡水
CN101090806	衡水
CN101090807	衡水
CN101090808	衡水
CN101090809	衡水
CN101090810	衡水
CN101090811	衡水
CN101090812	衡水
CN101090901	邢台
CN101090902	邢台
CN101090903	邢台
CN101090904	邢台
CN101090905	邢台
CN101090906	邢台
CN101090907	邢台
CN101090908	邢台
CN101090909	邢台
CN101090910	邢台
CN101090911	邢台
CN101090912	邢台
CN101090913	邢台
CN101090914	邢台
CN101090915	邢台
CN101090916	邢台
CN101090917	邢台
CN101090918	邢台
CN101090919	邢台
CN101091001	邯郸
CN101091002	邯郸
CN101091003	邯郸
CN101091004	邯郸
CN101091005	邯郸
CN101091006	邯郸
CN101091007	邯郸
CN101091008	邯郸
CN101091009	邯郸
CN101091010	邯郸
CN101091011	邯郸
CN101091012	邯郸
CN101091013	邯郸
CN101091014	邯郸
CN101091015	邯郸
CN101091016	邯郸
CN101091017	邯郸
CN101091018	邯郸
CN101091019	邯郸
CN101091101	秦皇岛
CN101091102	秦皇岛
CN101091103	秦皇岛
CN101091104	秦皇岛
CN101091105	秦皇岛
CN101091106	秦皇岛
CN101091107	秦皇岛
CN101091108	秦皇岛
CN101100101	太原
CN101100102	太原
CN101100103	太原
CN101100104	太原
CN101100105	太原
CN101100106	太原
CN101100107	太原
CN101100108	太原
CN101100109	太原
CN101100110	太原
CN101100111	太原
CN101100201	大同
CN101100202	大同
CN101100203	大同
CN101100204	大同
CN101100205	大同
CN101100206	大同
CN101100207	大同
CN101100208	大同
CN101100209	大同
CN101100210	大同
CN101100211	大同
CN101100301	阳泉
CN101100302	阳泉
CN101100303	阳泉
CN101100304	阳泉
CN101100305	阳泉
CN101100401	晋中
CN101100402	晋中
CN101100403	晋中
CN101100404	晋中
CN101100405	晋中
CN101100406	晋中
CN101100407	晋中
CN101100408	晋中
CN101100409	晋中
CN101100410	晋中
CN101100411	晋中
CN101100412	晋中
CN101100501	长治
CN101100502	长治
CN101100503	长治
CN101100504	长治
CN101100505	长治
CN101100506	长治
CN101100507	长治
CN101100508	长治
CN101100509	长治
CN101100510	长治
CN101100511	长治
CN101100512	长治
CN101100601	晋城
CN101100602	晋城
CN101100603	晋城
CN101100604	晋城
CN101100605	晋城
CN101100606	晋城
CN101100701	临汾
CN101100702	临汾
CN101100703	临汾
CN101100704	临汾
CN101100705	临汾
CN101100706	临汾
CN101100707	临汾
CN101100708	临汾
CN101100709	临汾
CN101100710	临汾
CN101100711	临汾
CN101100712	临汾
CN101100713	临汾
CN101100714	临汾
CN101100715	临汾
CN101100716	临汾
CN101100717	临汾
CN101100718	临汾
CN101100801	运城
CN101100802	运城
CN101100803	运城
CN101100804	运城
CN101100805	运城
CN101100806	运城
CN101100807	运城
CN101100808	运城
CN101100809	运城
CN101100810	运城
CN101100811	运城
CN101100812	运城
CN101100813	运城
CN101100814	运城
CN101100901	朔州
CN101100902	朔州
CN101100903	朔州
CN101100904	朔州
CN101100905	朔州
CN101100906	朔州
CN101100907	朔州
CN101101001	忻州
CN101101002	忻州
CN101101003	忻州
CN101101004	忻州
CN101101005	忻州
CN101101006	忻州
CN101101007	忻州
CN101101008	忻州
CN101101009	忻州
CN101101011	忻州
CN101101012	忻州
CN101101013	忻州
CN101101014	忻州
CN101101015	忻州
CN101101016	忻州
CN101101100	吕梁
CN101101101	吕梁
CN101101102	吕梁
CN101101103	吕梁
CN101101104	吕梁
CN101101105	吕梁
CN101101106	吕梁
CN101101107	吕梁
CN101101108	吕梁
CN101101109	吕梁
CN101101110	吕梁
CN101101111	吕梁
CN101101112	吕梁
CN101101113	吕梁
CN101110101	西安
CN101110102	西安
CN101110103	西安
CN101110104	西安
CN101110105	西安
CN101110106	西安
CN101110107	西安
CN101110108	西安
CN101110109	西安
CN101110110	西安
CN101110111	西安
CN101110112	西安
CN101110113	西安
CN101110114	西安
CN101110200	咸阳
CN101110201	咸阳
CN101110202	咸阳
CN101110203	咸阳
CN101110204	咸阳
CN101110205	咸阳
CN101110206	咸阳
CN101110207	咸阳
CN101110208	咸阳
CN101110209	咸阳
CN101110210	咸阳
CN101110211	咸阳
CN101110212	咸阳
CN101110213	咸阳
CN101110300	延安
CN101110301	延安
CN101110302	延安
CN101110303	延安
CN101110304	延安
CN101110305	延安
CN101110306	延安
CN101110307	延安
CN101110308	延安
CN101110309	延安
CN101110310	延安
CN101110311	延安
CN101110312	延安
CN101110313	延安
CN101110401	榆林
CN101110402	榆林
CN101110403	榆林
CN101110404	榆林
CN101110405	榆林
CN101110406	榆林
CN101110407	榆林
CN101110408	榆林
CN101110409	榆林
CN101110410	榆林
CN101110411	榆林
CN101110412	榆林
CN101110413	榆林
CN101110501	渭南
CN101110502	渭南
CN101110503	渭南
CN101110504	渭南
CN101110505	渭南
CN101110506	渭南
CN101110507	渭南
CN101110508	渭南
CN101110509	渭南
CN101110510	渭南
CN101110511	渭南
CN101110512	渭南
CN101110513	渭南
CN101110601	商洛
CN101110602	商洛
CN101110603	商洛
CN101110604	商洛
CN101110605	商洛
CN101110606	商洛
CN101110607	商洛
CN101110608	商洛
CN101110701	安康
CN101110702	安康
CN101110703	安康
CN101110704	安康
CN101110705	安康
CN101110706	安康
CN101110707	安康
CN101110708	安康
CN101110709	安康
CN101110710	安康
CN101110711	安康
CN101110801	汉中
CN101110802	汉中
CN101110803	汉中
CN101110804	汉中
CN101110805	汉中
CN101110806	汉中
CN101110807	汉中
CN101110808	汉中
CN101110809	汉中
CN101110810	汉中
CN101110811	汉中
CN101110812	汉中
CN101110901	宝鸡
CN101110902	宝鸡
CN101110903	宝鸡
CN101110904	宝鸡
CN101110905	宝鸡
CN101110906	宝鸡
CN101110907	宝鸡
CN101110908	宝鸡
CN101110909	宝鸡
CN101110910	宝鸡
CN101110911	宝鸡
CN101110912	宝鸡
CN101110913	宝鸡
CN101111001	铜川
CN101111003	铜川
CN101111004	铜川
CN101111005	铜川
CN101111006	铜川
CN101111101	杨凌
CN101111102	杨凌
CN101120101	济南
CN101120102	济南
CN101120103	济南
CN101120104	济南
CN101120105	济南
CN101120106	济南
CN101120107	济南
CN101120108	济南
CN101120109	济南
CN101120110	济南
CN101120111	济南
CN101120201	青岛
CN101120202	青岛
CN101120203	青岛
CN101120204	青岛
CN101120205	青岛
CN101120206	青岛
CN101120207	青岛
CN101120208	青岛
CN101120209	青岛
CN101120210	青岛
CN101120211	青岛
CN101120301	淄博
CN101120302	淄博
CN101120303	淄博
CN101120304	淄博
CN101120305	淄博
CN101120306	淄博
CN101120307	淄博
CN101120308	淄博
CN101120309	淄博
CN101120401	德州
CN101120402	德州
CN101120403	德州
CN101120405	德州
CN101120406	德州
CN101120407	德州
CN101120408	德州
CN101120409	德州
CN101120410	德州
CN101120411	德州
CN101120412	德州
CN101120413	德州
CN101120501	烟台
CN101120502	烟台
CN101120503	烟台
CN101120504	烟台
CN101120505	烟台
CN101120506	烟台
CN101120507	烟台
CN101120508	烟台
CN101120509	烟台
CN101120510	烟台
CN101120511	烟台
CN101120512	烟台
CN101120513	烟台
CN101120601	潍坊
CN101120602	潍坊
CN101120603	潍坊
CN101120604	潍坊
CN101120605	潍坊
CN101120606	潍坊
CN101120607	潍坊
CN101120608	潍坊
CN101120609	潍坊
CN101120610	潍坊
CN101120611	潍坊
CN101120612	潍坊
CN101120613	潍坊
CN101120701	济宁
CN101120702	济宁
CN101120703	济宁
CN101120704	济宁
CN101120705	济宁
CN101120706	济宁
CN101120707	济宁
CN101120708	济宁
CN101120709	济宁
CN101120710	济宁
CN101120711	济宁
CN101120712	济宁
CN101120801	泰安
CN101120802	泰安
CN101120803	泰安
CN101120804	泰安
CN101120805	泰安
CN101120806	泰安
CN101120807	泰安
CN101120901	临沂
CN101120902	临沂
CN101120903	临沂
CN101120904	临沂
CN101120905	临沂
CN101120906	临沂
CN101120907	临沂
CN101120908	临沂
CN101120909	临沂
CN101120910	临沂
CN101120911	临沂
CN101120912	临沂
CN101120913	临沂
CN101121001	菏泽
CN101121002	菏泽
CN101121003	菏泽
CN101121004	菏泽
CN101121005	菏泽
CN101121006	菏泽
CN101121007	菏泽
CN101121008	菏泽
CN101121009	菏泽
CN101121010	菏泽
CN101121101	滨州
CN101121102	滨州
CN101121103	滨州
CN101121104	滨州
CN101121105	滨州
CN101121106	滨州
CN101121107	滨州
CN101121108	滨州
CN101121201	东营
CN101121202	东营
CN101121203	东营
CN101121204	东营
CN101121205	东营
CN101121301	威海
CN101121302	威海
CN101121303	威海
CN101121304	威海
CN101121307	威海
CN101121401	枣庄
CN101121402	枣庄
CN101121403	枣庄
CN101121404	枣庄
CN101121405	枣庄
CN101121406	枣庄
CN101121407	枣庄
CN101121501	日照
CN101121502	日照
CN101121503	日照
CN101121504	日照
CN101121505	日照
CN101121601	莱芜
CN101121602	莱芜
CN101121603	莱芜
CN101121701	聊城
CN101121702	聊城
CN101121703	聊城
CN101121704	聊城
CN101121705	聊城
CN101121706	聊城
CN101121707	聊城
CN101121708	聊城
CN101121709	聊城
CN101130101	乌鲁木齐
CN101130102	乌鲁木齐
CN101130104	乌鲁木齐
CN101130105	乌鲁木齐
CN101130106	乌鲁木齐
CN101130107	乌鲁木齐
CN101130111	乌鲁木齐
CN101130112	乌鲁木齐
CN101130113	乌鲁木齐
CN101130201	克拉玛依
CN101130202	克拉玛依
CN101130203	克拉玛依
CN101130204	克拉玛依
CN101130301	石河子
CN101130401	昌吉
CN101130402	昌吉
CN101130404	昌吉
CN101130405	昌吉
CN101130406	昌吉
CN101130407	昌吉
CN101130408	昌吉
CN101130501	吐鲁番
CN101130502	吐鲁番
CN101130503	吐鲁番
CN101130504	吐鲁番
CN101130601	巴音郭楞
CN101130602	巴音郭楞
CN101130603	巴音郭楞
CN101130604	巴音郭楞
CN101130605	巴音郭楞
CN101130606	巴音郭楞
CN101130607	巴音郭楞
CN101130608	巴音郭楞
CN101130609	巴音郭楞
CN101130612	巴音郭楞
CN101130701	阿拉尔
CN101130801	阿克苏
CN101130802	阿克苏
CN101130803	阿克苏
CN101130804	阿克苏
CN101130805	阿克苏
CN101130806	阿克苏
CN101130807	阿克苏
CN101130808	阿克苏
CN101130809	阿克苏
CN101130901	喀什
CN101130902	喀什
CN101130903	喀什
CN101130904	喀什
CN101130905	喀什
CN101130906	喀什
CN101130907	喀什
CN101130908	喀什
CN101130909	喀什
CN101130910	喀什
CN101130911	喀什
CN101130912	喀什
CN101131001	伊犁
CN101131002	伊犁
CN101131003	伊犁
CN101131004	伊犁
CN101131005	伊犁
CN101131006	伊犁
CN101131007	伊犁
CN101131008	伊犁
CN101131009	伊犁
CN101131010	伊犁
CN101131011	伊犁
CN101131012	伊犁
CN101131101	塔城
CN101131102	塔城
CN101131103	塔城
CN101131104	塔城
CN101131105	塔城
CN101131106	塔城
CN101131107	塔城
CN101131201	哈密
CN101131202	哈密
CN101131203	哈密
CN101131204	哈密
CN101131301	和田
CN101131302	和田
CN101131303	和田
CN101131304	和田
CN101131305	和田
CN101131306	和田
CN101131307	和田
CN101131401	阿勒泰
CN101131402	阿勒泰
CN101131405	阿勒泰
CN101131406	阿勒泰
CN101131407	阿勒泰
CN101131408	阿勒泰
CN101131409	阿勒泰
CN101131410	阿勒泰
CN101131412	阿勒泰
CN101131413	阿勒泰
CN101131501	克州
CN101131502	克州
CN101131503	克州
CN101131504	克州
CN101131505	克州
CN101131601	博尔塔拉
CN101131602	博尔塔拉
CN101131603	博尔塔拉
CN101131604	博尔塔拉
CN101131606	博尔塔拉
CN101131701	图木舒克
CN101131801	五家渠
CN101131901	铁门关
CN101140101	拉萨
CN101140102	拉萨
CN101140103	拉萨
CN101140104	拉萨
CN101140105	拉萨
CN101140106	拉萨
CN101140107	拉萨
CN101140108	拉萨
CN101140109	拉萨
CN101140201	日喀则
CN101140202	日喀则
CN101140203	日喀则
CN101140204	日喀则
CN101140205	日喀则
CN101140206	日喀则
CN101140208	日喀则
CN101140209	日喀则
CN101140210	日喀则
CN101140211	日喀则
CN101140212	日喀则
CN101140213	日喀则
CN101140214	日喀则
CN101140215	日喀则
CN101140216	日喀则
CN101140217	日喀则
CN101140218	日喀则
CN101140219	日喀则
CN101140220	日喀则
CN101140301	山南
CN101140302	山南
CN101140303	山南
CN101140304	山南
CN101140305	山南
CN101140306	山南
CN101140307	山南
CN101140309	山南
CN101140310	山南
CN101140311	山南
CN101140312	山南
CN101140313	山南
CN101140314	山南
CN101140401	林芝
CN101140402	林芝
CN101140403	林芝
CN101140404	林芝
CN101140405	林芝
CN101140406	林芝
CN101140407	林芝
CN101140408	林芝
CN101140501	昌都
CN101140502	昌都
CN101140503	昌都
CN101140504	昌都
CN101140505	昌都
CN101140506	昌都
CN101140507	昌都
CN101140508	昌都
CN101140509	昌都
CN101140510	昌都
CN101140511	昌都
CN101140512	昌都
CN101140601	那曲
CN101140602	那曲
CN101140603	那曲
CN101140604	那曲
CN101140605	那曲
CN101140606	那曲
CN101140607	那曲
CN101140608	那曲
CN101140609	那曲
CN101140610	那曲
CN101140611	那曲
CN101140701	阿里
CN101140702	阿里
CN101140705	阿里
CN101140706	阿里
CN101140707	阿里
CN101140708	阿里
CN101140709	阿里
CN101140710	阿里
CN101150101	西宁
CN101150102	西宁
CN101150103	西宁
CN101150104	西宁
CN101150105	西宁
CN101150106	西宁
CN101150107	西宁
CN101150108	西宁
CN101150201	海东
CN101150202	海东
CN101150203	海东
CN101150204	海东
CN101150205	海东
CN101150206	海东
CN101150207	海东
CN101150301	黄南
CN101150302	黄南
CN101150303	黄南
CN101150304	黄南
CN101150305	黄南
CN101150401	海南
CN101150402	海南
CN101150404	海南
CN101150406	海南
CN101150407	海南
CN101150408	海南
CN101150501	果洛
CN101150502	果洛
CN101150503	果洛
CN101150504	果洛
CN101150505	果洛
CN101150506	果洛
CN101150507	果洛
CN101150601	玉树
CN101150602	玉树
CN101150603	玉树
CN101150604	玉树
CN101150605	玉树
CN101150606	玉树
CN101150701	海西
CN101150702	海西
CN101150708	海西
CN101150709	海西
CN101150712	海西
CN101150713	海西
CN101150714	海西
CN101150715	海西
CN101150716	海西
CN101150801	海北
CN101150802	海北
CN101150803	海北
CN101150804	海北
CN101150806	海北
CN101160101	兰州
CN101160102	兰州
CN101160103	兰州
CN101160104	兰州
CN101160105	兰州
CN101160106	兰州
CN101160107	兰州
CN101160108	兰州
CN101160109	兰州
